Date,Silver
05/23/18,21.81928130495271
05/23/19,28.617856210135173
05/23/20,29.461154621336327
05/23/21,23.73309316279753
05/23/22,22.70744673143554
05/23/23,26.439995432390155
05/23/24,24.087341710980965
05/23/25,20.25386355660345
05/23/26,21.561525973661904
05/23/27,27.159722288473976
05/23/28,26.589239419101514
05/23/29,20.270959925034834
05/23/30,22.219721619329494
05/23/31,22.310747965880715
06/23/01,26.718927435987283
06/23/02,20.197105377543643
06/23/03,21.041085819845737
06/23/04,27.999160853731894
06/23/05,21.785446620543336
06/23/06,26.527461078518748
06/23/07,22.381827810467264
06/23/08,20.994413927593452
06/23/09,22.43172190999454
06/23/10,27.22266931855659
06/23/11,28.55696468106286
06/23/12,28.302198645669918
06/23/13,23.971835296184548
06/23/14,26.68085136570646
06/23/15,22.04984295415821
06/23/16,22.931477302610134
06/23/17,28.9633581852112
06/23/18,20.130019235107362
06/23/19,20.85508530854468
06/23/20,22.078862551460272
06/23/21,20.265322038738198
06/23/22,21.814354350897972
06/23/23,25.83041560969692
06/23/24,24.21424550592498
06/23/25,28.92671711076975
06/23/26,28.17443561738441
06/23/27,23.41817351697876
06/23/28,22.594234334312926
06/23/29,23.79692408167267
06/23/30,25.902949425148076
07/23/01,22.680636408228764
07/23/02,26.24148907849134
07/23/03,24.094116521912404
07/23/04,25.5204718085198
07/23/05,24.361265291353167
07/23/06,22.944657595419176
07/23/07,29.484533069621566
07/23/08,27.636057941597606
07/23/09,21.401131757664526
07/23/10,28.68467975897913
07/23/11,24.874311982495136
07/23/12,28.945522268940913
07/23/13,27.998552559473154
07/23/14,24.252135044692334
07/23/15,20.224693083201174
07/23/16,22.68677359384946
07/23/17,25.41634214660867
07/23/18,26.334782198261472
07/23/19,22.578876854332023
07/23/20,21.39356074072824
07/23/21,28.34930236799299
07/23/22,29.84402180703552
07/23/23,25.25690182302686
07/23/24,21.716792858483036
07/23/25,22.72307326519369
07/23/26,20.183906765474667
07/23/27,29.14298806560499
07/23/28,21.17751082890141
07/23/29,25.765164755142536
07/23/30,22.74055220687206
07/23/31,25.541780025157934
08/23/01,26.514203883518643
08/23/02,28.297418037072017
08/23/03,22.064212717606033
08/23/04,20.109958286584806
08/23/05,21.368856300688073
08/23/06,29.00018641848105
08/23/07,28.738900775625154
08/23/08,25.974131021703084
08/23/09,26.005168604336532
08/23/10,26.650366745462556
08/23/11,21.753712786234495
08/23/12,29.1441194592496
08/23/13,24.187705248920732
08/23/14,23.831385282494974
08/23/15,25.189177052828377
08/23/16,20.469659667750552
08/23/17,21.662833687560795
08/23/18,27.380336164263703
08/23/19,20.827986679251264
08/23/20,26.03152109466388
08/23/21,22.45349109681321
08/23/22,23.892956140419766
08/23/23,22.886937367707
08/23/24,23.55672716464949
08/23/25,27.190459051842453
08/23/26,22.971217156231752
08/23/27,25.66404640296897
08/23/28,24.760504021990997
08/23/29,26.63671165362648
08/23/30,29.36829739324758
08/23/31,27.325720972102502
09/23/01,22.149403785907566
09/23/02,20.311831350612845
09/23/03,22.62264044299825
09/23/04,25.95077930700255
09/23/05,20.514258134842503
09/23/06,24.963662472012363
09/23/07,25.968428489168893
09/23/08,23.34243890816961
09/23/09,27.70912203745822
09/23/10,21.065982531337717
09/23/11,20.751377817358087
09/23/12,27.281887562036033
09/23/13,24.954913162061985
09/23/14,26.88402396427736
09/23/15,24.348273386037462
09/23/16,22.46402033239107
09/23/17,28.191023176741997
09/23/18,27.99415878968979
09/23/19,26.946964708544268
09/23/20,22.721451372299626
09/23/21,25.90230666869087
09/23/22,23.60973896940027
09/23/23,20.91582073326634
09/23/24,29.17313575462243
09/23/25,21.368186309189614
09/23/26,29.502373538208026
09/23/27,24.460057729579557
09/23/28,21.851329288386196
09/23/29,25.419009473783582
09/23/30,28.729458358764084
10/23/01,27.322248864095613
10/23/02,28.0656114786145
10/23/03,26.587833667107173
10/23/04,26.922765645178526
10/23/05,28.491956515653193
10/23/06,22.49668008859186
10/23/07,24.894249636431404
10/23/08,22.212094418196024
10/23/09,29.87668007996647
10/23/10,29.440593396866134
10/23/11,20.394268113685058
10/23/12,27.055751725156885
10/23/13,29.25248317415666
10/23/14,21.805753451273336
10/23/15,25.679452305526294
10/23/16,29.15488297588042
10/23/17,20.33945978585799
10/23/18,26.9742026724684
10/23/19,22.973490073725507
10/23/20,29.243961953765304
10/23/21,29.71058245165368
10/23/22,29.44266489113434
10/23/23,24.742142166574638
10/23/24,28.620426509893136
10/23/25,28.4454939853507
10/23/26,23.191004732432557
10/23/27,28.289154741506774
10/23/28,20.370076347154928
10/23/29,25.96269878482053
10/23/30,22.30008837287703
10/23/31,21.20566885777279
11/23/01,20.769532016292093
11/23/02,26.9628877587814
11/23/03,23.398749637680663
11/23/04,27.247667715287616
11/23/05,20.653563407989424
11/23/06,23.152903378306103
11/23/07,25.394912923753374
11/23/08,27.907231648389637
11/23/09,23.1875250293207
11/23/10,26.258913764370092
11/23/11,28.85977748236187
11/23/12,26.158631881823045
11/23/13,22.329594747536337
11/23/14,20.24400781556538
11/23/15,28.700988739009297
11/23/16,20.21269410850387
11/23/17,28.747016726841995
11/23/18,25.28937134027212
11/23/19,29.390676985128962
11/23/20,27.987832357736654
11/23/21,29.979341105333376
11/23/22,23.5071181545171
11/23/23,27.67188288931127
11/23/24,24.01930913609242
11/23/25,24.79875620303909
11/23/26,26.2750546321837
11/23/27,28.736771141863386
11/23/28,29.840834691992953
11/23/29,27.68273413864518
11/23/30,24.17766782167334
12/23/01,24.213570022770703
12/23/02,27.375823015888916
12/23/03,22.387771457683023
12/23/04,21.104741131313947
12/23/05,23.546221576407767
12/23/06,22.87238991654082
12/23/07,22.963081204559902
12/23/08,22.3360775104991
12/23/09,20.42093189636362
12/23/10,20.178739347334137
12/23/11,29.877223897360317
12/23/12,24.277731337358624
12/23/13,23.843266471596817
12/23/14,26.7964728269307
12/23/15,22.182538878650643
12/23/16,29.499611839502254
12/23/17,27.86345014415552
12/23/18,20.894110023122597
12/23/19,24.175807757849284
12/23/20,28.791183075621646
12/23/21,29.4473202229141
12/23/22,24.674015112498697
12/23/23,26.134113892107077
12/23/24,21.67033946092075
12/23/25,29.911686261369766
12/23/26,22.316717013834435
12/23/27,29.427317741351256
12/23/28,26.496466489923684
12/23/29,26.07736794878859
12/23/30,25.126885110165084
12/23/31,22.306698117177586
